"MNIST","Vanilla-GAN","DCGAN","WGAN","Info-GAN","WGAN GP","","","","","","","","","","","","","",""
"ACCURACY ","56.78","36.78","27.86","97.5","42.67 ","","","","","","","","","","","","","",""
"PRECISION","53.97","37.58","28.59","97.57","41.89 ","","","","","","","","","","","","","",""
"F1 SCORE","51.19","37.45","25.78","97.53","40.53 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"CIFAR10","Vanilla-GAN","DCGAN","WGAN","Info-GAN","WGAN GP","","","","","","","","","","","","","",""
"ACCURACY ","46.89","31.36","21.57","78.5","29.78 ","","","","","","","","","","","","","",""
"PRECISION","46.78","31.98","21.65","78.95","29.12 ","","","","","","","","","","","","","",""
"F1 SCORE","44.51","30.56","20.78","78.41","28.06 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"FMNIST","Vanilla-GAN","DCGAN","WGAN","Info-GAN","WGAN GP","","","","","","","","","","","","","",""
"ACCURACY ","46.89","31.36","21.57","78.5","38.85 ","","","","","","","","","","","","","",""
"PRECISION","46.78","31.98","21.65","78.95","38.27 ","","","","","","","","","","","","","",""
"F1 SCORE","44.51","30.56","20.78","78.41","36.91 ","","","","","","","","","","","","","",""
"","","","",""," ","","","","","","","","","","","","","",""
"SVHN","Vanilla-GAN","DCGAN","WGAN","Info-GAN","WGAN GP","","","","","","","","","","","","","",""
"ACCURACY ","46.89","31.36","21.57","78.5","26.73 ","","","","","","","","","","","","","",""
"PRECISION","46.78","31.98","21.65","78.95","25.96 ","","","","","","","","","","","","","",""
"F1 SCORE","44.51","30.56","20.78","78.41","25.21 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
